SID  SRC_IP  SRC_PORT  DEST_IP  DEST_PORT  ACTION  HIT_COUNT  DOMAIN
6569513  50.40.0.101  4900  160.90.0.147  53  Alert  1504  threat-zone-6812.info
4869738  30.50.0.250  61090  130.60.0.209  53  Alert  2601  command-exfil.ru
9530211  50.40.0.120  32472  160.90.0.142  53  Alert  937  c2-scan.cn
7211482  50.40.0.207  19917  160.90.0.114  53  Alert  4051  commandhost.cc
1099362  20.20.0.77  13296  120.80.0.31  53  Drop  2766  worm-hub-2426.info
4471566  50.40.0.203  19009  130.60.0.52  53  Alert  4153  malware-steal-3359.ru
3786075  30.50.0.129  27681  160.90.0.202  53  Drop  959  ransom719steal.info
TIME 1746678939 2025-05-08 UTC
7599262  20.20.0.129  57337  130.60.0.151  53  Alert  1475  phish-server.xyz
1055877  50.40.0.43  6286  130.60.0.238  53  Drop  4587  threathost.cc
4850561  50.40.0.147  47972  120.80.0.120  53  Alert  1958  spyware-admin-894.tk
1569825  30.50.0.221  34081  160.90.0.157  53  Drop  4476  covert-leak-4222.ru
6653504  30.50.0.101  33325  120.80.0.111  53  Alert  2207  covert496host.tk
2241005  20.20.0.22  22071  160.90.0.251  53  Alert  1079  shadow-scan-3816.org
5002503  30.50.0.194  23012  120.80.0.67  53  Drop  4988  attack261drop.ru
7429107  20.20.0.86  35413  160.90.0.223  53  Alert  4157  exploit-payload-5030.cc
3465773  50.40.0.23  29756  120.80.0.255  53  Alert  841  darkaccess.net
7887917  20.20.0.206  23307  120.80.0.254  53  Alert  4756  virus103exfil.cc
7466930  30.50.0.32  62077  130.60.0.119  53  Drop  1481  malware-payload-8714.tk
4669265  20.20.0.23  64357  130.60.0.34  53  Alert  4650  threat-dump.info
4696085  20.20.0.86  32510  120.80.0.22  53  Drop  3494  malware387scan.net
6981332  50.40.0.144  13390  120.80.0.199  53  Drop  3139  botnet264attack.org
3594729  30.50.0.137  16093  160.90.0.143  53  Drop  4085  shadowpayload.net
2381026  30.50.0.130  29167  120.80.0.186  53  Drop  2662  botnetserver.cc
3849674  30.50.0.229  55356  120.80.0.227  53  Alert  3152  covertscan.cc
9078868  30.50.0.167  25594  130.60.0.213  53  Drop  4070  exploit-drop-5694.org
5882946  20.20.0.81  16597  120.80.0.36  53  Alert  4028  ransomaccess.org
7108467  20.20.0.146  26007  130.60.0.42  53  Alert  2882  control-admin-9275.com
TIME 1746679059 2025-05-08 UTC
7186180  20.20.0.108  10900  130.60.0.159  53  Alert  3262  control-attack.xyz
5733084  50.40.0.31  26023  160.90.0.240  53  Drop  3798  hidden-zone.xyz
3424313  50.40.0.56  22032  130.60.0.144  53  Alert  2421  ransom-zone-9840.org
2430432  30.50.0.113  21835  160.90.0.159  53  Drop  2487  darkserver.com
4777863  50.40.0.35  58833  120.80.0.52  53  Drop  3329  botnethost.cc
2720889  30.50.0.200  55305  120.80.0.13  53  Alert  3687  phish-admin-5923.cn
3119070  20.20.0.136  41827  130.60.0.218  53  Drop  3723  phish-steal-4460.org
5103567  30.50.0.112  34493  160.90.0.193  53  Drop  686  worm519drop.net
3580373  20.20.0.251  33146  160.90.0.92  53  Alert  4856  ransomexfil.info
2244979  20.20.0.31  37372  160.90.0.132  53  Alert  1266  c2766attack.com
6819624  30.50.0.88  15016  160.90.0.217  53  Drop  970  attack232exfil.xyz
8195394  30.50.0.240  26290  120.80.0.152  53  Alert  2368  threat-server-1169.tk
4899179  20.20.0.42  6333  130.60.0.27  53  Drop  1735  control-dump-7456.cn
7969370  50.40.0.9  63287  160.90.0.141  53  Drop  3818  worm-net.tk
7774754  50.40.0.139  46512  160.90.0.189  53  Alert  2007  covert-dump-3339.net
2500326  20.20.0.140  4967  120.80.0.135  53  Alert  4115  worm-drop-4248.cc
9683850  30.50.0.190  39208  130.60.0.114  53  Alert  2660  threatsteal.org
6572974  30.50.0.119  42681  130.60.0.208  53  Alert  3724  shadow-hub.tk
TIME 1746679202 2025-05-08 UTC
8249741  30.50.0.113  38615  160.90.0.146  53  Drop  2943  evildrop.info
9752889  30.50.0.185  65416  130.60.0.153  53  Drop  2741  malware511leak.tk
2039489  30.50.0.244  12502  130.60.0.129  53  Alert  2582  threat429net.com
9631094  30.50.0.213  54724  130.60.0.233  53  Drop  3090  controlhub.info
8492682  30.50.0.167  30830  130.60.0.188  53  Drop  4351  evil-admin.net
8753088  30.50.0.160  10370  160.90.0.219  53  Drop  4070  trojan-host-2322.cc
8915064  50.40.0.108  25108  120.80.0.226  53  Drop  1565  spyware-access-1767.org
1668705  50.40.0.131  46446  120.80.0.171  53  Alert  2042  c2177zone.xyz
3495955  50.40.0.243  11888  160.90.0.154  53  Alert  2156  spywareleak.ru
9639822  50.40.0.230  46217  130.60.0.211  53  Drop  853  control842access.ru
2644601  50.40.0.180  53947  120.80.0.129  53  Drop  3527  malware-access.cn
2194287  20.20.0.204  26990  160.90.0.97  53  Alert  3933  c2-attack-9003.org
7702743  30.50.0.208  17739  130.60.0.175  53  Alert  3995  shadow240hub.com
8570543  50.40.0.196  28698  130.60.0.233  53  Drop  1052  c2267payload.cn
3941493  30.50.0.24  23056  130.60.0.91  53  Drop  3315  ransom632hub.cc
9576522  50.40.0.32  23655  120.80.0.215  53  Alert  1811  malwareaccess.cn
9757961  30.50.0.28  37870  130.60.0.30  53  Drop  671  hidden-attack.com
6518326  30.50.0.131  22854  120.80.0.44  53  Alert  1464  spyware-payload.cn
3744602  30.50.0.57  58299  160.90.0.167  53  Drop  4077  spyware-server.org
3687206  30.50.0.5  64577  120.80.0.48  53  Alert  3048  spyware509access.cn
4860786  20.20.0.146  63361  130.60.0.121  53  Alert  541  malware-host.xyz
2284201  50.40.0.47  8361  160.90.0.195  53  Drop  4721  ransom-server.com
3983059  20.20.0.137  1534  160.90.0.61  53  Drop  1466  control114zone.ru
5314074  20.20.0.140  37935  160.90.0.30  53  Drop  935  hidden-admin.cn
7577711  50.40.0.155  20029  130.60.0.186  53  Drop  3699  attack29steal.org
8348752  50.40.0.244  4378  130.60.0.6  53  Alert  1886  ransomscan.xyz
3162555  50.40.0.166  11126  130.60.0.184  53  Alert  1534  virus-payload-1047.org
2018170  30.50.0.40  16878  160.90.0.141  53  Alert  3603  hack-hub-6808.tk
6849307  30.50.0.40  1291  160.90.0.207  53  Alert  4572  phish-drop-3957.ru
5084150  30.50.0.255  32431  160.90.0.16  53  Alert  4200  exploitexfil.cc
9325701  50.40.0.132  23726  130.60.0.66  53  Alert  4344  virus-drop.info
9501503  30.50.0.157  5092  130.60.0.20  53  Drop  4765  virusnet.tk
4232281  30.50.0.36  36688  130.60.0.136  53  Alert  1844  attack280steal.tk
6007029  20.20.0.84  35495  130.60.0.115  53  Alert  4758  trojan920access.ru
3234227  20.20.0.214  20477  130.60.0.36  53  Drop  4341  worm119access.org
5444089  20.20.0.187  45814  120.80.0.184  53  Alert  4918  virussteal.net
5988980  30.50.0.14  22971  160.90.0.80  53  Alert  4757  trojan-payload-6201.com
2436405  50.40.0.34  54838  130.60.0.123  53  Alert  2753  evil-hub-4674.tk
8010703  30.50.0.70  14512  160.90.0.95  53  Alert  583  dark-hub.ru
TIME 1746679323 2025-05-08 UTC
1195237  20.20.0.42  29268  120.80.0.118  53  Drop  4766  botnet-hub-7493.cc
8271017  20.20.0.98  12778  120.80.0.49  53  Alert  1779  shadow-server-6412.cn
5539031  20.20.0.167  2714  130.60.0.15  53  Alert  2051  spyware466host.cc
7362403  50.40.0.229  14868  120.80.0.5  53  Alert  603  worm-access.tk
5140746  20.20.0.195  7946  160.90.0.77  53  Drop  1894  shadow152drop.xyz
6098312  50.40.0.104  6262  120.80.0.133  53  Drop  2228  shadowhub.com
1214915  20.20.0.5  20626  160.90.0.5  53  Drop  1955  command-steal-2915.info
3406547  30.50.0.180  16148  160.90.0.92  53  Drop  4250  c2steal.cc
1801136  20.20.0.242  52412  130.60.0.68  53  Drop  4799  attack814leak.cc
4733281  30.50.0.231  65502  130.60.0.114  53  Drop  4237  command224admin.xyz
7549433  50.40.0.193  21356  130.60.0.187  53  Alert  1666  phish648zone.com
7618521  50.40.0.32  58284  160.90.0.139  53  Alert  1598  shadow-attack.xyz
5208636  30.50.0.220  26340  130.60.0.134  53  Drop  4790  evil-scan-2535.tk
9554691  30.50.0.125  18493  160.90.0.186  53  Drop  1610  hidden-hub.info
8853942  20.20.0.84  30178  160.90.0.44  53  Drop  4481  evilleak.cn
8367929  20.20.0.131  13544  160.90.0.155  53  Drop  748  exploit253exfil.com
1343119  50.40.0.54  6001  120.80.0.215  53  Drop  2070  virus-scan.xyz
5093561  20.20.0.96  53109  160.90.0.138  53  Alert  820  covert-hub-9049.tk
6603836  30.50.0.169  16633  160.90.0.167  53  Drop  812  hidden-admin.xyz
6748507  30.50.0.142  47787  160.90.0.142  53  Drop  757  exploit184hub.org
2905977  30.50.0.109  25248  130.60.0.202  53  Drop  3671  trojan-admin-3730.ru
3098203  30.50.0.245  54160  130.60.0.15  53  Alert  1409  botnet924zone.org
8263260  20.20.0.38  30197  160.90.0.233  53  Drop  4830  malware438attack.ru
7214708  30.50.0.12  10175  120.80.0.66  53  Drop  933  virus-host.info
6761919  50.40.0.179  57655  120.80.0.195  53  Drop  2639  ransom898server.xyz
7847407  30.50.0.207  49696  120.80.0.114  53  Alert  2772  trojan807drop.tk
6092783  20.20.0.242  17699  160.90.0.8  53  Drop  3557  botnetaccess.cn
6428730  50.40.0.148  41071  120.80.0.248  53  Alert  4779  threat-zone.net
9963783  20.20.0.196  47556  160.90.0.79  53  Alert  2282  shadow383zone.xyz
5009992  20.20.0.26  55496  120.80.0.112  53  Drop  2912  exploit-net-8955.info
5656037  50.40.0.179  16432  160.90.0.190  53  Alert  2595  dark386dump.tk
1300403  30.50.0.126  18388  120.80.0.208  53  Alert  4427  c2attack.cc
2426538  50.40.0.38  32909  120.80.0.215  53  Alert  571  hack540host.org
3720898  30.50.0.59  27117  160.90.0.79  53  Alert  4806  hack-dump-9893.org
8375597  50.40.0.163  46332  160.90.0.230  53  Drop  2772  botnethub.ru
7888538  20.20.0.160  53740  120.80.0.234  53  Drop  1335  attack-drop.xyz
8003049  50.40.0.50  55415  120.80.0.181  53  Drop  2697  dark97attack.info
2653842  20.20.0.41  62846  130.60.0.98  53  Alert  4677  ransomscan.cc
7992421  20.20.0.227  6625  160.90.0.166  53  Alert  1290  virushost.cn
8769128  30.50.0.65  27785  130.60.0.37  53  Drop  636  covert409hub.cn
6025077  20.20.0.121  57766  120.80.0.199  53  Alert  1238  exploit-payload.info
8590287  50.40.0.239  42858  160.90.0.13  53  Alert  881  evil-exfil.com
8300572  50.40.0.41  18261  160.90.0.195  53  Alert  930  attack761host.info
9724929  20.20.0.31  7781  160.90.0.98  53  Drop  1186  virus156access.net
4836438  20.20.0.250  22167  120.80.0.190  53  Drop  1810  phish497net.cn
6099902  50.40.0.8  3807  120.80.0.22  53  Drop  690  phishsteal.xyz
2684102  30.50.0.254  56102  120.80.0.63  53  Drop  1380  command608steal.org
6443209  30.50.0.102  20469  120.80.0.72  53  Alert  3272  virus-server-5979.cn
1879033  50.40.0.97  8350  160.90.0.242  53  Drop  3530  phish744exfil.cn
7023389  50.40.0.227  55153  160.90.0.169  53  Drop  1075  spyware-admin-6515.cn
4476394  30.50.0.10  17534  130.60.0.206  53  Alert  1370  shadow489admin.net
8617013  50.40.0.149  34541  130.60.0.167  53  Alert  1401  ransom-steal-8264.ru
8535288  50.40.0.137  54171  160.90.0.236  53  Drop  4075  hidden-access-3041.xyz
6765639  30.50.0.152  20780  160.90.0.167  53  Alert  3452  controladmin.com
1564405  20.20.0.53  12593  160.90.0.39  53  Alert  2862  phish708net.net
TIME 1746679443 2025-05-08 UTC
9562339  30.50.0.73  19212  120.80.0.10  53  Drop  2845  covert221server.tk
2727340  20.20.0.210  55182  130.60.0.136  53  Drop  1586  botnet854dump.info
4322916  20.20.0.69  62876  160.90.0.36  53  Drop  4902  phish-net-6826.org
9211158  20.20.0.93  39428  130.60.0.100  53  Alert  1497  worm-leak-9824.cc
7980742  50.40.0.155  62793  130.60.0.184  53  Drop  1966  attack181payload.cc
9924871  20.20.0.212  7736  120.80.0.73  53  Drop  1555  shadowattack.cn
1264023  50.40.0.145  12503  130.60.0.156  53  Drop  3468  virusserver.com
6469502  50.40.0.183  42245  120.80.0.6  53  Alert  3041  malwaresteal.com
9548678  30.50.0.166  48582  160.90.0.118  53  Alert  4060  phish-zone-5037.cc
7224850  30.50.0.254  4367  160.90.0.248  53  Alert  2311  hidden348zone.tk
5508517  30.50.0.107  55620  130.60.0.174  53  Drop  3488  covert907server.tk
4293222  50.40.0.202  1955  160.90.0.17  53  Drop  3752  trojanserver.org
7765317  50.40.0.140  16931  130.60.0.71  53  Alert  3877  phishhost.ru
8677746  50.40.0.94  40243  130.60.0.24  53  Alert  2193  dark145host.tk
1058546  50.40.0.125  9986  120.80.0.11  53  Alert  4287  c2810steal.net
8237428  20.20.0.113  50789  160.90.0.111  53  Alert  4702  worm-payload-9120.net
3437094  50.40.0.180  10400  120.80.0.223  53  Alert  3162  dark170admin.net
2777456  50.40.0.134  46644  120.80.0.83  53  Alert  2919  attack-access.net
2154819  20.20.0.225  49317  130.60.0.43  53  Drop  572  c2-scan-1025.net
8366379  30.50.0.152  19284  130.60.0.236  53  Drop  3905  worm-zone.com
2591755  50.40.0.220  61395  160.90.0.11  53  Alert  2849  trojanhub.tk
5830339  20.20.0.53  26399  120.80.0.209  53  Alert  789  control-host.cc
7092143  30.50.0.239  42294  130.60.0.34  53  Alert  2022  control-zone-227.cn
7693744  30.50.0.239  57956  120.80.0.116  53  Drop  2234  exploit-exfil.xyz
4283605  20.20.0.48  48762  160.90.0.70  53  Drop  967  ransom757exfil.info
1678009  50.40.0.82  63080  160.90.0.178  53  Alert  1878  c2host.tk
6823443  50.40.0.120  10143  160.90.0.181  53  Alert  4342  threatscan.cc
2656296  30.50.0.56  62299  160.90.0.201  53  Alert  2311  phishscan.cc
5231678  30.50.0.104  34371  130.60.0.175  53  Alert  2108  malware316net.xyz
3746884  50.40.0.38  27703  130.60.0.89  53  Drop  3577  botnet784hub.com
6247581  30.50.0.1  3816  120.80.0.164  53  Alert  3158  botnetadmin.net
1820251  30.50.0.126  27036  130.60.0.241  53  Alert  1325  wormexfil.org
9604404  20.20.0.74  47909  120.80.0.255  53  Drop  2840  dark610scan.tk
2679941  20.20.0.5  38228  130.60.0.160  53  Drop  1454  hack-leak.org
1743362  50.40.0.43  65428  130.60.0.20  53  Alert  4322  threat-payload.info
9643803  50.40.0.218  2401  130.60.0.227  53  Drop  1096  malware964access.xyz
2617482  20.20.0.114  22866  160.90.0.156  53  Alert  4286  spyware-server-6861.org
6616941  50.40.0.89  48066  160.90.0.234  53  Alert  1379  shadowzone.com
3013289  30.50.0.235  63846  160.90.0.147  53  Drop  2032  trojan-steal-1814.org
4488725  20.20.0.0  33751  130.60.0.173  53  Drop  2030  threat-hub-4030.cn
5426316  50.40.0.18  32102  130.60.0.120  53  Alert  852  exploit-payload.info
4966013  50.40.0.15  19492  160.90.0.244  53  Drop  1592  covert817zone.xyz
4586090  30.50.0.125  34012  130.60.0.54  53  Alert  4922  control-server.net
8173312  30.50.0.148  30252  120.80.0.40  53  Drop  1452  hack947steal.info
7004634  20.20.0.123  5712  120.80.0.67  53  Drop  3244  hack-host.info
7378160  30.50.0.137  40515  160.90.0.157  53  Alert  1023  exploit-scan.cn
7926556  50.40.0.76  37187  120.80.0.196  53  Alert  3062  dark134payload.cc
7205644  30.50.0.248  26160  120.80.0.242  53  Drop  922  virus-hub-5050.info
9158933  50.40.0.44  6722  120.80.0.66  53  Alert  4268  control-attack.cc
4093825  50.40.0.42  5527  160.90.0.122  53  Drop  1245  threat-hub-2554.net
9496160  50.40.0.183  36785  130.60.0.35  53  Drop  4011  ransomsteal.info
4661862  30.50.0.66  17029  130.60.0.254  53  Drop  647  covert713host.net
9442663  30.50.0.138  24539  160.90.0.41  53  Alert  3069  threat936drop.tk
9402471  20.20.0.3  43860  120.80.0.200  53  Alert  4824  shadow-access.tk
2097042  30.50.0.10  37910  130.60.0.176  53  Drop  1435  hackaccess.cn
4562364  50.40.0.230  60101  120.80.0.242  53  Alert  2197  hack699zone.info
5570373  20.20.0.203  35769  160.90.0.32  53  Drop  1732  trojan-scan.cn
8339470  20.20.0.7  56406  130.60.0.88  53  Alert  2322  hiddennet.net
6594099  50.40.0.91  52710  120.80.0.239  53  Alert  3300  trojan1net.info
1443484  50.40.0.48  33614  160.90.0.189  53  Drop  3765  attack-scan-7528.xyz
8044033  30.50.0.236  56177  160.90.0.5  53  Alert  1537  hidden-leak.org
3808428  50.40.0.193  24562  160.90.0.222  53  Alert  637  evil348scan.org
7851537  30.50.0.250  28164  120.80.0.138  53  Alert  830  ransom-net-9070.cc
2872924  20.20.0.174  30724  120.80.0.22  53  Drop  3772  hidden212scan.org
3640964  20.20.0.243  6262  160.90.0.211  53  Alert  1586  ransom554steal.org
1707277  20.20.0.248  16330  160.90.0.250  53  Drop  2337  trojanaccess.xyz
5007223  20.20.0.15  17467  160.90.0.27  53  Drop  3947  covert38scan.info
2277948  20.20.0.247  7586  130.60.0.231  53  Drop  518  threat-hub.cc
TIME 1746679564 2025-05-08 UTC
6819917  50.40.0.109  19253  160.90.0.164  53  Drop  4203  control-host-464.cc
2162122  50.40.0.48  26477  160.90.0.238  53  Alert  900  dark-exfil.ru
5244513  30.50.0.159  22586  120.80.0.184  53  Drop  902  covert395host.info
3554525  30.50.0.230  39056  160.90.0.110  53  Drop  3297  trojan-scan.info
4029179  20.20.0.161  5429  130.60.0.112  53  Drop  2558  ransom-zone.net
6344880  30.50.0.57  59975  120.80.0.54  53  Drop  2907  hiddenexfil.ru
2108056  30.50.0.91  19473  120.80.0.14  53  Alert  3056  command-zone.ru
9268471  30.50.0.198  20454  120.80.0.227  53  Alert  2180  covert-zone-1749.net
8737020  20.20.0.104  63194  120.80.0.9  53  Alert  1611  ransomsteal.org
3911986  20.20.0.126  7593  120.80.0.243  53  Alert  1083  controlnet.xyz
1453435  30.50.0.38  48952  120.80.0.252  53  Drop  4773  attack-host-7283.org
5296090  20.20.0.207  46158  120.80.0.186  53  Alert  1884  command852exfil.info
9275244  50.40.0.128  14684  120.80.0.243  53  Drop  4283  virusleak.cn
5610714  30.50.0.14  16935  130.60.0.210  53  Alert  2575  botnet497leak.info
2205355  20.20.0.187  1399  160.90.0.11  53  Alert  1623  shadow-access.ru
6636187  50.40.0.51  24541  130.60.0.139  53  Drop  3640  shadowleak.cn
7082328  30.50.0.234  62204  160.90.0.156  53  Alert  4094  shadow-drop.xyz
5420656  30.50.0.137  55222  120.80.0.195  53  Drop  2799  trojannet.org
3454847  20.20.0.140  13505  120.80.0.63  53  Drop  2817  threatdrop.net
6031469  50.40.0.80  53632  130.60.0.98  53  Drop  2671  virusdump.info
9077034  50.40.0.9  43948  160.90.0.123  53  Drop  4141  hidden-server.cc
3245642  20.20.0.134  49449  160.90.0.1  53  Alert  2559  hidden-leak.org
3421036  50.40.0.241  27923  120.80.0.84  53  Alert  2320  trojan-net.tk
5295214  50.40.0.186  58359  130.60.0.55  53  Drop  2160  covertadmin.cc
7768533  50.40.0.102  24461  160.90.0.17  53  Alert  1528  trojan-hub-203.cn
6017920  20.20.0.188  31109  130.60.0.193  53  Drop  3688  exploit527payload.net
3723233  50.40.0.28  18713  120.80.0.183  53  Drop  4825  covert707access.org
7291363  20.20.0.44  13318  160.90.0.55  53  Alert  1105  botnet-host-5974.cn
5133607  30.50.0.254  49923  160.90.0.247  53  Drop  4936  wormhub.tk
8863462  30.50.0.246  36883  120.80.0.146  53  Drop  2829  ransomdrop.info
7975438  20.20.0.107  62189  160.90.0.79  53  Drop  1431  hidden-net-2814.info
1136016  50.40.0.173  23806  160.90.0.133  53  Alert  4586  ransom-payload-5914.ru
4704388  20.20.0.2  17602  130.60.0.112  53  Drop  1377  dark721attack.tk
8592508  30.50.0.77  41081  130.60.0.123  53  Alert  3047  malware-scan-5353.cn
1352346  20.20.0.137  35612  130.60.0.246  53  Drop  4276  botnet-admin-481.tk
4698845  20.20.0.145  13814  120.80.0.189  53  Alert  2213  shadow312net.cn
2274629  50.40.0.147  11239  160.90.0.127  53  Alert  1712  dark-dump-7860.cc
1927118  50.40.0.245  52867  130.60.0.94  53  Drop  4471  c2-scan.xyz
2999981  50.40.0.247  9759  120.80.0.198  53  Alert  4346  trojan-hub.info
7493965  20.20.0.172  24729  160.90.0.42  53  Alert  3965  evil-drop.cc
5467298  30.50.0.13  58611  120.80.0.182  53  Drop  2297  dark258access.cn
3138155  30.50.0.162  59412  160.90.0.239  53  Drop  1617  wormexfil.ru
5610836  50.40.0.171  30656  120.80.0.205  53  Alert  1697  worm956steal.org
1779374  20.20.0.41  60414  160.90.0.224  53  Drop  3734  dark-host-5469.com
5136638  20.20.0.221  52421  130.60.0.222  53  Alert  3523  controladmin.org
1708473  50.40.0.40  23688  130.60.0.20  53  Drop  636  virus-access-4255.cc
8185328  20.20.0.117  19398  120.80.0.94  53  Drop  2579  command-leak-2619.tk
4010649  20.20.0.112  18763  130.60.0.121  53  Alert  3073  c2-payload-589.cc
7680773  50.40.0.38  65521  120.80.0.68  53  Drop  2077  control-payload-7872.cn
5557611  50.40.0.82  16019  160.90.0.6  53  Drop  906  spyware-attack-1098.net
9253529  50.40.0.240  27531  130.60.0.10  53  Drop  4602  ransomaccess.net
6953124  50.40.0.79  8849  160.90.0.96  53  Drop  1063  evil-payload.tk
2066304  30.50.0.102  35743  130.60.0.195  53  Alert  2902  ransomhub.xyz
1968253  20.20.0.75  1219  160.90.0.144  53  Drop  4265  wormhost.cc
7278971  20.20.0.30  14696  160.90.0.180  53  Drop  3280  phish136access.info
1175398  50.40.0.38  34257  130.60.0.103  53  Drop  2074  virus-server.ru
5383574  30.50.0.21  36814  130.60.0.42  53  Drop  4150  botnet-net-7022.xyz
5253320  50.40.0.91  27621  120.80.0.186  53  Drop  3778  spywareserver.net
8634434  20.20.0.34  13801  120.80.0.86  53  Drop  2731  phish-hub-599.cn
8204091  30.50.0.164  7852  130.60.0.254  53  Drop  2450  shadow-exfil.org
3296925  20.20.0.118  57344  160.90.0.148  53  Alert  2341  virus788access.xyz
2240336  20.20.0.40  42641  160.90.0.149  53  Alert  695  spyware-exfil.net
6767680  50.40.0.191  31510  120.80.0.139  53  Drop  1752  phish-zone-5609.org
6121409  20.20.0.123  9049  120.80.0.50  53  Drop  2570  botnet-admin.cc
6203631  30.50.0.148  59169  160.90.0.181  53  Alert  4469  c2-zone.ru
7293907  20.20.0.7  32692  130.60.0.31  53  Drop  2742  wormleak.ru
1816577  30.50.0.12  28333  120.80.0.250  53  Drop  782  exploit-access-8159.xyz
6452349  50.40.0.60  55872  160.90.0.178  53  Alert  2157  command-scan-3362.tk
4969333  50.40.0.76  52520  160.90.0.192  53  Drop  4312  control-host-1078.cn
7439831  30.50.0.208  56372  120.80.0.195  53  Alert  3546  ransom997scan.org
4091633  20.20.0.165  2601  130.60.0.188  53  Drop  2551  command525zone.net
2351861  50.40.0.161  23928  160.90.0.253  53  Alert  2613  phish361admin.com
2035528  50.40.0.2  56451  130.60.0.47  53  Alert  2304  ransomscan.tk
